Left Elbow
446.5469 286.7969
244.1388 368.6133
303.6571 333.6797
328.4000 249.1250
331.8367 294.6719
288.6939 291.1523
259.1592 293.7266
243.3428 279.0352
255.1551 304.2969
248.3755 321.4336
224.2245 296.2969
258.6531 281.2656
183.5714 295.7188
298.5102 287.9453
201.0612 303.2656
205.4694 282.5156
213.7673 286.0469
196.3633 272.7813
152.5306 275.3125
239.6571 271.5156
164.1265 250.6680
168.1429 261.2188
166.8000 241.8906
172.8041 254.6641
181.6735 243.4141
223.3592 258.1953
363.8694 323.8438
376.8939 303.8438
407.7429 230.9023
126.2490 282.9375
385.1429 315.6250
379.5551 306.0781
427.0000 306.9570
583.5919 276.0781
368.7306 277.9727
315.1837 306.0391
505.7347 315.3789
503.2980 317.9531
504.1959 345.5352
529.3878 348.9922
517.0408 322.7852
508.6571 306.5703
502.4408 326.7500
493.5143 313.1680
496.9388 337.2930
492.3020 323.8203
485.6204 320.9844
484.4694 325.9453
483.4612 309.8828
476.2449 324.3125
322.8612 216.2813
332.3306 217.8438
313.9878 224.3945
392.3714 306.7344
411.6327 291.3047
545.0408 259.4961
527.1633 286.2500
356.7918 298.5547
336.0082 281.2227
342.1020 286.6094
356.0571 283.0547
358.6571 287.3398
357.7184 282.4805
289.3673 311.3555
707.8653 353.4297
445.3592 251.2422
468.2898 226.7813
471.6939 260.3320
447.3918 272.6875
194.0816 250.0117
440.6327 276.4531
210.3265 294.0000
425.3265 273.3945
415.2612 270.5156
397.1714 254.9297
400.2653 266.5469
421.6327 261.9063
457.1265 280.9844
421.3184 272.6406
400.7143 254.3281
398.1388 265.3516
204.4286 238.8164
394.1184 252.9023
392.7796 263.9844
396.9306 257.9180
404.7306 263.8438
415.4694 261.1719
409.0857 267.1367
412.2286 258.4453
410.4082 262.2266
385.0163 250.9922
381.3510 256.8242
359.8776 224.8750
357.0408 256.6406
457.2204 304.1016
400.9184 291.3828
397.0000 311.8438
405.0286 306.7969
403.6776 295.0977
414.3061 305.7344
413.2735 285.9141
420.0122 289.0313
434.8979 282.1250
440.2245 292.6055
431.5919 280.8203
448.1102 281.8281
442.6000 282.8359
679.7714 233.9375
676.6735 240.3125
294.6449 325.6758
612.8000 257.1406
570.3143 233.9336
564.9673 234.3906
650.5143 236.7969
695.9183 241.2031
729.2816 235.4844
712.6367 259.6719
677.8979 238.0156
657.4286 212.1016
643.1428 228.9023
652.0041 236.1523
664.2449 244.9766
664.9429 232.9297
658.3143 233.4531
656.3551 241.2813
517.3918 203.5430
552.3796 218.2578
616.5103 196.9805
654.0571 177.6406
641.6938 175.2344
637.3674 357.7813
659.5021 370.5547
635.8163 374.6406
615.6531 380.0000
490.3878 272.7070
496.7837 269.8438
507.1021 256.9414
503.3837 245.7344
491.5429 249.2500
494.5592 254.9219
502.1388 263.1641
507.2368 265.3203
510.2776 270.4375
513.2368 272.7969
514.5510 271.1992
516.7143 267.2031
522.7143 271.7383
512.9061 270.8320
516.3510 277.9375
514.0204 270.0156
520.9143 268.5469
513.7510 271.3750
524.6449 251.6875
518.0367 243.5234
521.7551 272.3750
519.4979 270.4531
546.9388 244.9375
569.0939 259.3984
533.9347 244.9219
519.2245 232.1758
563.7429 234.7656
543.7143 228.8906
553.2204 236.0547
548.7592 234.9531
549.9061 236.6953
552.5551 233.3750
100.1796 255.1680
69.3592 232.1875
258.8000 301.4219
149.4857 287.5156
190.2490 336.7695
278.6776 318.5273
538.7143 215.2656
558.0531 197.9453
598.6327 188.9766
474.7878 208.2969
483.9592 273.6250
322.7551 290.2734
483.7510 265.9297
277.5265 411.9180
328.1592 298.9102
365.8408 353.4609
289.6286 267.7813
312.8000 268.6875
380.0000 317.8203
376.0122 263.5156
424.8245 271.7656
601.5021 229.4727
255.1184 400.9414
392.1429 398.6250
391.5878 401.4688
422.2490 322.8125
376.0000 268.9844
378.5714 256.6328
414.2653 285.4219
405.9878 280.8672
432.8775 290.6367
480.2368 304.2500
646.8082 279.8359
662.4898 281.1055
588.1061 336.3438
539.1143 333.3945
541.8857 327.9688
388.9551 246.5000
632.3551 307.2500
413.2898 257.8594
377.8898 240.5391
318.5225 234.6484
255.9918 242.0781
412.2286 266.1094
303.1224 242.5977
293.7265 252.0781
342.3592 237.4375
265.0082 236.2070
567.7347 260.1602
571.2327 254.5313
532.9673 224.2383
520.3062 220.4297
526.6735 279.8477
506.7878 267.9375
510.7143 273.3516
525.3184 278.3984
530.1224 284.5313
564.7673 245.4805
574.5428 285.0820
581.1429 250.1875
607.1633 445.4922
591.1265 428.5898
564.8245 258.0000
568.5551 258.4922
169.4000 258.5625
204.1429 249.8906
295.6531 192.6406
572.6857 260.1250
441.6694 281.8750
548.9265 233.6719
556.7143 239.4688
555.2490 245.1641
555.7673 248.9531
548.4817 253.8281
547.5714 273.9531
532.2776 311.8906
533.8000 301.0625
221.9755 280.4922
144.8612 273.9453
125.3673 243.0508
140.2408 251.5391
130.4980 264.6641
148.3143 252.2500
134.2449 260.2422
153.4041 242.5234
161.7551 240.5391
156.5347 251.9492
133.7184 246.3945
141.2653 233.4258
612.8449 384.8984
571.2041 366.6250
585.1959 346.2969
574.5837 355.9688
555.0327 284.6563
543.2776 311.1484
469.7265 297.0000
460.6980 292.8711
449.9184 320.1953
488.4000 337.9063
486.7143 312.5156
521.0939 374.5039
663.9470 359.8047
687.7184 348.1094
658.5919 346.7813
267.7347 331.8594
288.2857 325.8750
556.1510 310.1484
547.4898 306.2969
525.4857 303.2109
522.2980 305.7539
459.0694 266.3555
461.2857 269.5430
444.4245 271.1094
413.7347 269.0547
310.9143 266.7461
298.6000 261.8125
511.6776 260.6875
513.5347 261.7969
256.6000 280.4922
203.9429 291.7188
234.0286 305.0625
222.9469 282.5000
366.1347 304.9453
452.0980 305.2969
434.6204 340.2188
534.1877 304.3633
588.9918 312.3906
223.4490 301.4141
234.1388 293.8906
238.2041 291.0000
643.9673 317.8359
222.6286 305.6016
212.4531 304.2656
209.0245 287.3477
238.0000 312.0000
674.3551 379.3047
