Left Shoulder
436.5878 195.1563
223.9755 261.5781
258.5714 223.9102
324.7755 189.3125
327.8776 213.3125
290.6327 219.3203
245.4163 215.1328
231.5143 206.0469
249.2286 215.3516
240.1633 222.6211
236.7632 221.0625
238.5306 218.7813
168.7143 243.6563
277.8571 231.4609
223.9837 214.9844
221.6326 210.4844
221.0980 219.9531
190.2653 211.7266
164.9388 213.2813
233.8286 207.5781
179.3020 198.2695
177.0571 214.4609
160.8000 207.1133
175.1633 206.4570
196.0245 198.1406
225.3061 180.3828
326.2612 195.1563
349.0735 196.7500
342.2082 187.0898
120.5184 208.2891
354.1225 224.5625
364.8939 219.7891
405.5714 236.1875
581.8572 203.2344
382.2735 202.5625
281.2245 234.8359
489.8000 209.5859
488.0408 219.8672
492.0326 235.6719
517.0204 242.3320
500.3265 234.1875
489.1959 218.9609
483.2082 235.3125
477.9878 230.2930
475.1020 221.5625
473.9592 229.1797
468.9347 225.3594
460.8776 219.5977
463.7347 226.4609
446.4898 216.6563
311.5306 156.8906
322.5102 165.3438
299.1714 157.7734
380.5428 219.9375
402.2449 217.8750
533.0000 212.7266
504.5714 205.7500
329.5184 189.2734
301.6571 180.0625
299.7592 179.7813
321.6000 185.2383
326.0367 186.6016
324.9347 188.1445
264.2898 229.5469
663.4531 278.4063
435.4204 167.7344
457.9796 166.6250
453.6898 160.4922
436.2000 166.2578
163.7143 179.6250
428.1674 168.1875
196.3551 168.0000
391.8449 159.7852
380.8122 160.0156
369.9020 173.0508
365.3674 175.7500
395.1877 163.2500
424.2449 180.3906
398.8245 168.2500
359.8286 152.7813
366.9919 166.8555
186.6857 165.8281
357.5918 166.2422
359.7184 168.9219
363.6612 166.7148
381.6122 157.4961
385.3878 168.2031
385.6327 166.2930
387.2571 164.9805
383.2245 154.8945
354.4531 157.2031
354.0939 155.4648
336.6612 147.3750
346.8367 158.3906
417.6082 171.6797
374.5755 170.6328
371.0000 186.5938
367.7428 174.7109
365.0286 183.5078
377.4245 182.6875
386.4204 184.1797
373.9469 172.4063
384.9388 161.3672
388.5510 152.7539
393.6327 155.5234
396.1021 157.2188
401.6204 159.7891
654.4572 168.6875
648.7143 177.5313
276.5061 267.8438
589.4000 168.7109
560.8857 173.5586
560.2000 172.4375
621.3715 166.9063
674.4572 166.9844
686.3591 174.9375
685.2694 170.0938
641.1633 170.5977
606.1837 160.8438
608.4653 159.2930
629.0817 163.5664
634.8572 171.3828
635.1265 161.2109
626.3796 165.5859
628.2408 156.6250
540.0775 116.0039
568.2122 123.1250
606.9183 114.1719
604.6857 117.3125
593.7347 100.2813
588.5103 210.8633
583.3551 211.3516
571.1633 208.7188
568.9592 233.3750
466.6327 193.6055
460.5388 177.9609
469.8776 180.6172
473.9306 182.7617
462.7429 175.0000
460.4694 182.4063
479.9673 187.0391
486.9592 193.0703
491.8000 183.9766
490.5469 185.9609
491.3061 184.8203
488.9429 190.6328
498.2857 191.9219
497.1673 192.2383
496.5755 192.1172
492.9184 189.1328
488.3265 184.9453
492.5918 194.7969
491.2000 184.7500
497.2694 179.7852
495.2653 194.1719
489.5959 192.9688
563.0653 171.5859
576.1469 153.6953
551.5265 149.7891
531.1102 148.9141
532.5918 151.5156
510.0286 150.0313
512.0040 139.0234
518.1959 152.3750
512.6163 150.2656
505.6816 142.5938
79.8857 172.0234
97.5837 153.1094
282.8000 237.3594
182.0286 193.3438
160.7633 214.6523
285.0327 233.6836
537.1428 150.8828
538.3143 143.6758
555.2653 128.1367
459.8163 154.7813
466.5102 215.6172
305.0000 240.5625
459.9347 213.5938
312.7102 281.5508
314.1020 226.4883
357.0571 234.7031
285.6041 189.3242
318.8857 213.8438
398.9796 200.1172
370.6490 188.3750
420.8408 168.1719
567.7796 111.5938
235.5755 332.6094
364.2245 327.9375
360.5143 320.3750
433.8000 278.8750
368.6531 173.3125
365.0163 164.8945
384.8775 175.2656
376.4000 173.0547
419.4571 178.3320
480.2368 191.3594
578.9225 140.5898
581.7755 123.5898
579.9918 260.0313
529.7429 263.3164
530.4000 274.3750
345.4612 177.6250
629.5102 167.5234
406.7265 159.2461
367.4000 145.9688
349.4367 161.5586
261.6122 170.6797
413.5918 238.7656
295.3061 189.3398
269.5306 193.6250
304.4490 182.5938
243.2776 166.8906
545.3265 156.8398
533.4857 156.5625
483.5224 149.8828
549.4000 157.2578
523.0000 216.2695
497.7592 217.6641
505.6531 214.0508
519.0123 215.3125
526.3674 218.7695
558.8571 185.1016
566.1143 193.7461
565.1429 187.4531
541.8572 230.5625
554.6735 215.1367
547.3387 199.2500
560.2980 203.0469
201.8571 179.3438
204.1429 179.2344
241.0857 175.6953
563.0857 203.7500
496.4898 190.3516
510.1837 161.6133
512.0286 173.6484
528.9469 170.4570
534.5837 170.4727
539.9265 178.9063
538.3715 196.2852
526.9020 220.2500
531.1714 211.5469
193.6000 226.3516
148.7143 212.1953
123.5918 179.0664
129.2449 179.9375
137.9755 189.8203
144.6571 201.0625
128.9184 199.9453
151.5714 194.7891
144.5306 197.3750
138.1225 199.4844
126.4857 186.7109
130.6612 189.1875
651.4408 305.8477
619.4979 310.0469
609.8816 303.9219
627.0204 310.7539
564.8776 209.1875
549.0571 222.9844
478.7143 214.5000
479.8000 227.9258
449.9184 230.1719
486.1388 240.4844
468.0000 202.6484
502.3592 269.2852
641.8123 273.3008
671.0980 252.5156
643.7143 239.1250
283.3592 277.9766
302.8776 283.1250
544.3796 222.8047
526.0000 220.2344
511.9429 215.8477
507.3020 222.5938
442.7796 202.4063
453.5959 201.8438
440.2367 212.3750
395.4490 216.7109
288.6898 206.0469
284.7388 208.6250
503.7061 217.4922
506.8245 216.5508
278.2000 237.3203
228.2000 252.4063
264.4857 265.2188
204.1061 173.9688
359.4898 233.3906
422.7714 232.7422
410.6898 249.8750
479.9061 223.6836
536.6082 222.7461
198.2449 215.8203
225.0367 213.7969
222.4898 219.0000
651.7714 178.8867
205.7673 215.7891
195.2612 210.6680
191.6857 212.2422
226.0000 224.0000
652.4612 247.9609
646.9959 219.0273
553.3306 207.5781
571.9592 206.7070
449.0204 208.0938
441.4694 210.9141
461.2490 199.4688
479.4408 215.2734
481.9388 210.1641
342.6000 193.0703
436.7347 200.9844
402.8367 194.5313
384.2571 191.6914
366.0980 187.2031
353.7755 179.6250
339.5347 177.3438
312.7265 172.2969
312.2857 184.4219
308.4857 186.2109
630.2857 167.4063
569.7347 149.9297
515.2000 159.3359
482.3306 241.6250
384.7347 247.9063
371.8286 246.8750
347.5837 182.6719
194.2612 204.4766
128.2000 182.1250
135.4082 184.4219
198.6735 193.6719
210.4082 159.7305
197.2694 164.0547
201.5102 178.2852
210.7714 176.0625
146.0041 198.6406
179.0408 196.3281
230.1429 186.3555
183.9714 194.3398
179.7673 189.4453
438.1429 202.8047
308.0367 226.7852
311.0123 227.5625
374.0775 228.5820
397.9551 236.5469
397.5306 226.4688
150.0735 180.0703
169.0000 184.4336
559.8326 318.4766
315.0204 208.7500
285.5551 206.2227
284.6286 205.9531
145.6327 169.8281
171.9673 178.4375
167.4490 180.9141
168.7959 178.6641
151.9143 166.8711
588.9877 271.6133
485.0612 234.4375
517.4857 221.8125
136.8571 193.9375
529.9143 179.5938
603.4490 203.8516
490.0694 198.5430
486.0041 198.5703
288.6531 181.4141
333.0000 189.4297
254.4776 187.1328
337.8939 207.9766
344.8204 206.9297
306.7796 200.0156
336.7306 178.0820
339.2000 169.4531
325.6082 176.6172
341.3510 177.8828
420.6939 212.4688
420.9919 191.5938
394.9469 200.6875
271.6286 176.1758
282.6122 177.4531
300.4572 177.4766
336.4041 193.8203
324.5184 193.2656
398.2571 198.6719
402.0041 199.7461
478.5959 207.4141
473.2163 206.6914
482.6735 202.8594
493.7347 202.8438
576.5225 174.2344
597.5918 169.6602
573.7347 174.7109
592.4000 165.2813
605.4368 173.3281
601.2858 169.4336
601.0817 167.1484
598.1837 173.9688
595.0040 169.0938
598.9469 170.8555
583.7959 169.7383
569.9184 163.0625
432.7347 208.8750
500.0000 206.9180
562.9469 206.4375
365.1102 234.0391
286.6000 198.1367
549.4082 204.1250
544.1837 191.6406
316.2000 204.5469
306.5592 201.4258
644.1552 202.3125
653.9347 189.7500
583.9796 158.8125
181.0000 239.6094
312.1510 218.0000
482.6531 237.9375
484.7959 238.5000
479.5306 240.3750
527.7184 249.3750
545.7592 239.2969
164.3796 150.2734
247.3265 141.6211
251.8531 143.0703
308.4000 149.4375
357.4245 149.8125
51.2653 144.3555
371.7469 161.4570
370.8163 155.9414
374.2857 154.8359
375.2286 159.5625
401.2571 169.4375
417.0327 153.6016
284.0816 147.1758
464.3714 153.8398
548.7714 140.1406
610.2898 144.9258
626.3062 144.1133
584.0204 173.9141
401.8163 194.8047
647.7429 222.9453
410.7347 215.1250
598.6694 167.4375
436.7184 216.5078
619.8000 186.3438
197.1878 215.9141
213.8898 208.3438
192.8571 211.2031
201.3918 212.2930
382.4367 195.9258
214.5061 209.2383
223.6735 193.6719
236.0082 196.5313
237.7143 198.7383
595.0000 196.4609
377.8286 210.9688
335.8735 188.5313
345.1918 188.8125
339.0000 215.2227
578.3469 204.1055
588.7796 196.4375
359.1469 203.0938
342.9388 198.0469
532.2449 180.0000
281.9388 227.1953
465.9837 205.6875
544.6571 140.0430
537.5143 139.3594
534.9265 142.5000
552.4000 138.1250
541.5388 137.0938
546.4898 136.7500
549.6122 140.2031
491.7143 233.0820
465.2571 277.6406
216.6857 283.9141
172.0898 183.4336
489.4612 262.1055
463.0612 249.2148
493.8571 240.0938
263.1429 199.6250
237.4367 200.3555
307.4081 232.7852
603.2041 253.5898
423.1429 237.0664
623.9592 250.7188
623.7673 258.1953
227.8245 204.4961
403.2653 215.2734
415.7959 219.4453
405.2857 213.9375
537.8572 227.9844
509.1837 230.9219
497.5674 244.3281
215.6857 206.4375
268.2857 199.3164
325.2286 210.2266
167.2571 220.6641
503.1347 224.7969
560.9592 219.2148
543.4572 204.2695
566.7347 205.9688
565.4694 209.7578
543.0000 204.6875
551.1224 207.2031
551.3265 212.0547
559.6122 218.9219
490.1429 243.7500
559.1877 237.2305
503.9633 240.3438
436.6898 208.1289
435.5143 193.4219
434.0000 194.4492
403.4286 192.5625
402.8979 196.3750
396.8245 188.3359
371.0857 191.4453
239.8326 179.5469
335.2245 182.7578
332.8490 186.1094
240.0816 184.3008
555.7510 204.7500
567.6204 184.7305
566.8776 181.0430
227.5714 186.1328
564.6000 182.6406
558.1633 182.5938
556.2980 190.8047
312.8979 216.6602
384.2449 214.9570
379.1306 208.7969
386.8612 209.2031
382.0000 218.5938
391.1796 219.7578
381.1837 212.5781
339.1918 216.5352
378.5959 243.4297
374.7306 239.6914
415.4857 216.6953
412.8571 214.9922
409.8979 215.0391
408.4041 212.5547
407.9959 213.7148
404.6572 216.9375
149.9551 238.6875
404.6163 213.7188
442.7429 215.2891
155.0000 243.4258
149.5878 247.1953
152.1918 243.2188
154.6000 246.3086
161.9388 242.0508
156.7755 244.8750
161.8939 253.7500
161.4898 249.0000
163.1551 252.3594
186.0000 193.8047
211.8286 201.3516
198.6041 186.5781
211.6000 178.3672
204.2408 192.6406
196.9428 192.8750
178.3714 182.5391
184.3061 186.9766
206.2857 187.1328
193.3429 185.1484
186.2082 182.4883
199.4898 186.3789
238.4367 218.0000
380.0041 188.7500
428.2857 196.8320
168.4000 228.5586
582.9020 202.5586
600.6857 198.8320
72.0490 182.7578
65.8980 166.0859
64.0000 196.5313
70.5714 189.2188
59.8939 191.8242
633.3551 205.0313
345.7673 229.5313
410.3020 227.7344
371.4163 231.7500
347.6122 234.8438
331.9837 225.5859
320.4123 216.5938
547.8000 199.3359
521.8735 207.7188
526.2653 208.3125
522.2368 198.4844
519.8490 191.7500
565.5918 223.5234
558.5306 238.9375
453.6204 264.0742
438.5428 258.3594
271.9755 225.2813
261.3674 225.8750
250.4286 224.5273
244.0816 227.5938
240.0735 226.4648
228.4245 220.6953
306.1510 225.0625
295.5919 221.2188
588.4490 244.9531
561.8572 244.2930
564.1102 247.5313
277.2612 247.9336
457.7551 248.9219
205.9796 257.2891
205.0898 254.3633
413.9796 148.2500
561.4326 176.9883
550.5347 177.1992
520.9183 142.8125
540.9347 149.3125
624.8204 155.8359
631.3551 163.3828
486.6653 172.2344
337.4490 266.6641
427.4816 212.4492
428.3265 226.3008
583.2531 277.1289
578.7143 286.2188
581.5714 281.6680
298.8979 220.6563
442.9878 222.7891
411.6000 205.9219
404.8000 220.9688
389.1918 212.4297
617.1632 230.4922
604.8776 208.1875
596.5632 214.4609
595.6122 212.2109
587.8123 210.4688
454.4204 214.8828
119.7796 217.1016
524.2449 257.3711
282.2939 185.0781
273.8694 202.3047
596.9918 266.8242
345.1755 205.9844
316.5265 222.2266
456.4531 201.1836
463.6000 198.1211
197.2041 155.9063
453.5959 194.5938
465.4490 199.6250
133.5714 213.3281
162.8367 207.4961
166.7143 210.1914
570.7755 174.0000
582.8245 183.5039
576.0245 173.3164
566.7551 180.9922
560.6613 174.4219
542.7551 183.5313
538.2327 178.7969
555.5428 178.6250
542.3469 192.8516
511.6694 203.7500
630.5306 200.8242
586.1633 192.6250
589.4408 183.3594
568.2041 183.3945
589.7143 183.2891
580.9143 187.6211
590.8735 180.4531
595.9307 182.1250
597.1224 184.0000
596.1388 178.9180
583.4449 178.6094
582.8490 182.3438
575.1224 175.9727
577.8490 180.1523
592.0653 175.1875
616.8163 181.1211
604.2000 176.9414
605.8163 196.8750
579.1510 182.4922
576.2327 186.5391
586.2449 190.2500
583.2000 183.6406
586.6285 187.3125
576.8612 188.9570
579.8776 181.6719
576.2776 186.3359
583.0000 199.0156
585.5878 180.5938
587.9796 183.1445
557.6531 188.1758
564.4000 182.2852
558.1346 188.5000
561.1796 178.1172
589.1143 187.0313
586.8408 183.4141
585.4530 182.6875
567.9673 174.0156
164.7551 205.7617
591.3265 196.3672
323.9306 216.6250
296.6653 218.6875
293.0408 221.0391
371.4000 200.5703
383.8571 205.1875
379.7347 200.8438
217.0082 229.0938
202.3265 221.7070
205.9020 217.4688
215.2980 210.4023
214.0980 215.7617
178.7429 212.3281
171.2898 223.3398
181.6163 217.1250
171.2857 222.9375
318.0857 244.7656
322.4122 253.8438
305.0531 215.7188
328.0286 218.0000
355.3265 191.6836
394.3184 198.2656
418.9102 190.4922
618.0327 259.7734
486.5102 216.8828
374.9878 241.3281
618.3102 285.2188
360.4367 304.9570
573.2857 219.1406
356.0367 296.7188
382.2163 295.7813
346.7143 297.6484
380.2449 290.5703
503.7347 219.6563
524.5306 236.3516
291.1429 179.3125
275.4775 177.0703
451.3959 146.2969
456.3061 145.6836
452.5796 152.6250
474.9102 161.9883
257.8408 209.6250
261.4204 214.3438
335.1429 204.9609
339.7061 199.4531
273.6122 203.3594
305.1102 196.6875
319.5102 194.9961
330.0082 186.6563
325.6571 186.3750
334.2449 187.1172
347.6531 185.5391
340.0122 195.5039
358.5714 183.9375
362.2408 188.8750
302.4286 161.2266
328.2857 164.7383
321.0000 242.5938
324.8571 241.9531
321.8979 237.6719
283.1837 232.4219
292.1633 234.0313
267.4000 234.1250
273.4245 240.9648
295.7143 225.2188
