Right Elbow
277.2408 328.6328
80.8163 376.6914
88.9633 387.4883
225.1020 270.8750
175.4490 276.8125
139.4082 296.9766
109.9510 323.1992
85.6286 330.3242
99.0898 329.9922
160.0939 317.3164
251.3918 331.8242
288.8367 343.7500
85.1429 323.6094
225.2857 333.1328
298.0408 331.5156
336.5714 295.1211
303.5674 298.8984
263.4408 289.0625
265.7551 275.3125
152.2286 274.4219
241.3837 256.1836
222.7429 265.6719
226.8000 251.4844
238.8612 259.3672
257.0163 251.7539
81.2327 244.5781
102.8245 308.3125
126.5102 315.4844
112.8367 285.6680
2.0857 286.7656
235.8571 321.4375
247.6041 302.4063
244.8571 266.2109
498.5919 281.2813
533.1796 279.9063
226.8898 317.9063
334.4367 327.3555
315.8531 324.4922
319.3143 326.0039
338.9306 311.7852
328.4082 313.2070
311.6122 313.8711
322.1347 312.3125
309.7837 326.1172
304.7755 315.4570
306.2531 323.8203
299.6939 299.4688
298.0939 311.7656
301.5388 292.3203
305.9796 294.5000
201.0571 226.1797
214.4857 209.6406
191.0123 224.3945
216.9143 273.1992
255.7959 278.1250
457.1429 265.4922
356.4694 293.7969
205.7388 346.8906
114.8735 300.5938
116.2735 310.7969
147.4000 304.1523
149.3428 295.5078
134.3796 309.1406
193.2367 302.9648
521.1061 346.6094
457.2857 269.1367
392.6816 247.4063
407.8612 243.9648
346.6653 263.3516
91.5918 265.2305
318.0572 241.0586
66.6204 252.0000
252.7673 211.4258
274.0204 244.6172
246.3878 243.6914
232.7551 233.9531
270.1755 230.6250
285.7959 228.9531
253.6367 213.2813
231.1143 225.5313
228.0286 234.1211
-0.6000 264.4609
215.3306 256.7539
216.8939 249.4609
221.8286 240.3789
235.1959 234.8398
233.6122 246.1328
232.2857 272.5391
224.2857 247.9141
229.1837 235.0156
197.8163 258.6484
239.2245 272.4180
236.0571 269.4375
199.8980 273.0156
208.9837 327.9375
171.3592 334.7773
170.8000 332.7188
178.8286 334.2109
176.3306 329.2578
176.6245 318.0391
174.5796 321.8203
175.1388 298.7500
182.1633 314.5234
205.1102 295.1953
194.3469 307.3984
197.1143 286.3594
200.8204 291.0391
551.3918 261.1250
552.5347 261.6133
190.7592 322.3711
495.8000 257.1406
485.4572 228.2734
479.1551 221.2852
483.4286 230.9727
514.4734 219.7188
534.1796 204.2344
533.8367 239.5625
486.0612 223.7148
460.0408 223.4922
462.0490 242.4375
489.6367 232.3320
493.4286 232.0977
495.9837 246.8750
498.6408 239.4414
489.6776 241.2813
674.5714 221.3750
605.1551 198.8789
553.2041 189.2773
546.0571 208.5781
545.7755 204.0625
409.3674 350.7852
413.7551 365.3633
411.5510 386.7813
422.5102 373.6250
363.6939 288.5273
361.4694 277.0977
328.8163 260.8555
330.6816 263.1523
331.0857 269.8750
331.2122 277.6719
359.6082 277.4375
360.7878 274.3516
372.7225 266.3203
369.0898 266.1172
376.4490 267.0859
377.8571 264.8828
376.1429 276.6250
375.1918 272.7969
373.9673 263.4141
373.9796 275.7930
362.0490 264.4688
368.2816 266.0938
345.6163 224.1250
333.7265 222.7109
370.0408 272.3750
367.2694 273.1719
529.0204 239.5703
512.6694 240.0195
491.7143 225.5430
481.8694 220.2813
470.2898 241.7031
447.4694 243.3750
439.2694 250.6094
459.4204 244.3906
431.0449 243.7031
453.9592 259.3125
155.5265 249.6250
186.0204 258.5469
396.4000 322.2422
210.7429 308.6563
158.6572 313.6094
168.5225 299.4375
428.7143 227.8281
437.9755 206.1680
461.5919 215.0508
318.6572 227.5625
410.6735 268.9844
217.4082 284.3555
404.3633 275.4453
231.7878 374.9219
197.6286 331.0977
187.9714 338.0664
187.0041 269.7930
225.5714 272.7500
505.2653 302.6328
245.5061 299.2969
277.4286 287.7031
601.5021 229.4727
93.1918 431.6211
217.2857 428.0781
214.6041 423.0938
352.9429 305.4688
253.5510 281.2500
255.0694 286.7109
232.4286 289.0938
233.8408 291.6484
249.4653 268.1758
302.2449 295.2188
317.0775 357.5547
335.0204 345.9648
452.4816 324.7813
403.2286 327.5547
404.0571 326.0547
254.8490 290.0000
510.0245 281.5859
262.3347 257.8594
252.0123 261.5547
307.4816 265.6563
403.9959 238.3203
402.6857 275.6797
149.9225 237.8984
116.2898 229.9063
117.0041 254.3125
63.5061 285.7188
354.8571 264.6523
313.6653 272.3438
313.2122 290.3320
328.7714 264.1641
449.5306 273.7344
412.6327 271.8047
409.4898 272.0898
415.5918 265.7813
419.3469 265.7422
490.8898 245.4805
476.7714 273.2422
485.1429 246.7656
343.3265 416.6602
341.5633 414.5469
454.9143 263.0000
458.8531 266.7500
347.9143 236.2188
252.4286 268.4844
280.6000 224.6484
478.0571 264.2500
425.0571 256.9141
369.9714 263.2344
367.4572 271.0625
394.5143 245.1641
399.0082 246.8320
403.0449 260.2500
408.2571 281.8516
381.7632 308.2969
386.6000 306.3281
111.0531 280.4922
29.2694 262.3672
45.4694 257.2695
120.0816 229.5078
83.7633 255.3086
64.2000 272.3594
65.0000 256.6953
74.6000 255.3750
72.1878 254.3516
123.9592 234.9336
126.4857 244.5859
49.3633 258.1992
556.5592 351.0195
547.8898 344.9922
556.9836 339.2344
567.3510 339.6914
679.7347 286.2969
567.8408 299.5859
432.2775 300.0000
428.2245 296.6914
379.3878 307.1484
343.6816 292.5938
323.6326 315.1953
596.0327 378.2617
523.0898 373.8867
506.9714 343.9531
483.3673 351.7500
370.0041 331.8594
373.5918 338.2500
399.7592 313.5078
404.2245 311.0781
380.3837 307.0938
377.7918 315.2969
326.2449 293.9414
334.4041 278.4844
337.6367 281.5977
293.5714 269.0547
198.3102 268.2266
171.5388 259.5000
467.2653 291.3789
463.2082 295.3125
345.4000 294.8828
298.6612 307.9063
290.2571 309.7500
39.2490 282.5000
253.1714 293.2969
293.7347 324.9063
263.4245 338.3750
394.1061 304.3633
479.1551 309.0078
50.8980 289.7422
72.1224 282.9688
83.3061 291.0000
536.6613 274.7813
50.2694 316.8281
40.5347 329.0977
45.2694 322.0117
46.0000 280.0000
546.6408 328.2266
546.6041 327.3086
481.7592 293.5469
471.5510 315.0469
397.5919 296.2188
425.3469 286.7383
393.1388 296.2109
370.6694 296.6055
374.3878 300.5547
293.4000 251.6406
334.1102 240.9609
306.5102 240.3984
308.2898 245.8516
294.3347 238.0625
288.8776 230.8125
254.6776 227.1523
210.5102 230.4805
208.0286 233.6406
205.7429 235.8672
538.8572 224.5938
419.2857 233.1094
664.7510 273.4727
413.3633 294.5000
297.7306 291.9883
270.0408 307.3750
236.3755 307.9219
110.4041 295.7656
65.2000 283.1875
58.4367 276.4141
76.2245 287.8281
108.7347 276.7266
116.6000 283.0977
105.1551 283.8516
121.6122 286.2031
146.0041 240.2344
204.8286 271.7344
217.9429 284.1367
232.8857 290.3750
201.7592 284.9141
363.2041 276.1953
213.3755 283.3359
216.9633 280.0313
