Left Wrist
456.5061 322.6563
225.9918 415.0625
301.5102 372.4219
351.9592 278.1250
367.4694 322.4531
339.1021 322.2148
318.0571 319.2695
302.4857 316.5156
310.4694 343.8281
254.5347 370.8398
266.0204 329.7344
272.7388 353.8281
185.4286 334.7656
311.6531 355.7266
211.6408 388.0156
214.4490 358.1484
230.2612 339.2891
226.8531 317.5547
157.1837 323.3867
245.4857 318.0156
171.0245 296.1719
163.6857 301.2969
181.2000 263.4766
178.7021 280.5313
172.1061 277.9648
221.4122 326.2813
377.1429 288.3438
365.3020 336.4375
364.0531 148.7539
124.3388 344.1875
379.3265 360.1875
383.2204 350.1406
412.0000 351.9922
574.9183 345.4531
399.6857 303.1094
299.9020 360.2891
513.7020 397.2188
512.0164 407.3203
509.0612 411.4531
524.4408 418.4453
517.0408 408.9883
501.3592 386.8789
500.0367 413.3750
496.1021 403.8125
494.7551 404.9844
484.4408 407.9453
476.0857 409.4375
475.0327 396.8438
472.5020 377.9375
469.6327 398.8438
327.1102 265.7734
322.5102 270.3438
316.9510 273.2500
335.2000 324.4883
394.7347 313.8984
547.4490 294.2734
539.7143 369.2656
350.4980 391.0234
344.5959 380.2305
342.1020 371.2656
365.6286 369.3633
366.8123 377.1875
374.1102 370.6641
291.4571 403.6523
666.8694 401.1719
415.5428 302.9375
468.2898 300.6875
425.8653 338.8945
400.7592 351.1094
178.8980 322.3008
407.3918 349.3242
198.3510 328.0000
402.1469 361.1836
399.7592 360.2969
390.7551 351.2578
390.9592 364.3281
402.4000 353.3438
419.0531 364.2344
409.0490 362.7031
393.1429 343.7500
398.1388 354.2383
214.2857 301.9414
392.1959 339.5625
390.1347 328.6797
398.6816 335.0898
406.6571 343.1211
407.2653 330.8984
407.2816 344.5703
410.9143 312.4180
405.8776 334.7891
402.2082 335.2109
396.9265 325.0469
379.2245 292.6875
363.1633 332.3750
444.0163 417.9844
385.8653 417.7930
389.2000 418.8281
390.1143 408.9766
399.1306 413.5195
404.0612 420.5781
404.3225 414.5781
410.3143 408.0859
411.3878 399.9375
406.6367 401.3789
406.9184 396.6250
411.9306 395.1094
409.8163 393.5781
634.5674 264.7500
634.1755 286.2773
225.3878 350.4609
521.0000 304.0625
577.8572 258.4609
578.0775 261.7930
627.2000 263.9766
639.3387 264.6406
692.2123 276.5000
665.2000 277.9531
643.2041 278.8750
634.6531 263.3594
575.7143 242.4375
585.1470 239.9727
603.6326 244.9766
603.3224 222.9688
608.4163 253.4141
644.3062 303.7656
512.5306 271.6289
529.5102 267.5859
568.5510 258.6055
604.6857 247.2500
584.1429 250.1875
537.3265 476.7148
566.0490 460.5391
552.9796 483.9063
541.3673 473.5000
444.4612 345.4805
441.2082 337.5469
493.3878 327.3945
498.0286 324.7852
491.5429 317.3125
490.2979 321.7500
481.5510 331.3594
491.4653 326.2813
491.8000 338.3711
489.2122 339.5938
492.6735 334.2695
493.5714 339.1328
498.2857 338.5234
497.1673 331.7422
495.2571 346.5938
491.0000 343.1953
488.3265 325.6406
492.5918 325.5078
546.2857 257.5938
545.2939 248.7266
495.2653 334.9375
492.3143 332.9844
509.3102 307.5547
526.7755 312.2500
509.3061 320.6758
476.7755 325.6328
563.7429 309.3438
538.9020 290.0469
516.8530 303.9766
527.6000 301.0156
533.5918 297.4297
508.9143 291.7344
138.9225 319.8359
71.2408 281.1406
268.4000 319.0391
218.4000 341.3281
257.6449 366.2461
293.5061 380.0391
546.5714 268.6563
548.1837 234.1250
586.4898 256.7695
455.5388 246.8281
480.4694 310.7500
321.5714 329.3320
477.4000 311.9219
166.6980 431.2969
324.1429 429.6719
361.4490 434.8320
293.6531 320.0859
324.9714 343.8438
416.0612 363.3828
379.5878 327.9219
424.8245 341.4922
655.8326 309.9297
288.6204 435.8047
415.6531 435.4414
418.6082 436.6094
376.0449 333.2188
327.0204 332.7656
325.8571 334.8359
379.3673 360.6953
373.7102 361.7266
421.6939 387.2188
432.9225 367.4688
675.9020 448.2266
671.7143 443.2539
606.6531 402.2500
550.8286 398.8008
549.5428 398.7891
350.8979 320.8125
487.2653 301.5469
422.0408 332.3672
390.4776 299.3828
345.0204 318.8125
274.7265 275.8984
401.3224 277.0469
279.6735 288.0234
249.3673 290.3750
401.3306 279.6250
251.1796 311.4648
473.6204 284.8672
477.9755 234.4922
472.5347 207.7148
425.7510 174.2656
488.7143 322.6406
501.6286 334.9688
509.4490 330.1289
520.2734 327.6055
522.6122 339.0195
508.6204 283.7695
576.2286 342.5898
577.7143 308.3594
562.7551 531.9883
565.8898 484.7617
572.3184 304.2500
574.4531 304.5000
181.5714 319.5000
233.8571 283.3594
286.2449 183.2266
574.0571 257.3750
358.6082 286.8672
