Right Shoulder
265.2898 203.1250
123.1592 251.4805
129.7551 234.6719
235.9755 189.3125
195.2449 197.4375
160.7347 209.6133
123.6939 219.0625
91.5428 223.8008
108.9673 219.3047
147.7755 214.3867
180.3388 221.0625
186.2122 226.8438
94.4286 254.8125
199.0000 246.5234
283.9347 225.5781
311.4286 221.2891
292.5714 219.9531
277.6694 209.6914
251.7959 222.5859
156.6000 214.8438
245.5224 205.1641
236.1143 208.8945
226.8000 202.3164
244.7592 215.8633
262.9959 210.0547
120.1714 151.2031
171.4041 190.7188
165.9224 189.7656
156.5265 189.8281
25.0082 191.0625
251.3674 234.2500
265.9306 223.4609
300.5714 225.4648
515.9388 211.9063
451.9225 212.2305
231.9837 250.0938
366.3061 219.5664
363.8041 222.0469
358.2367 218.5820
378.5061 244.8125
366.6122 215.0313
345.6694 216.5273
353.3878 223.2813
338.2490 227.7031
344.0816 219.3789
335.0775 231.8086
335.4490 208.6250
333.4816 219.5977
330.0327 217.6797
319.2041 213.3438
215.2204 166.7891
232.4898 152.2188
208.7918 159.2539
274.0857 202.1836
297.1021 206.5781
470.3878 219.9219
361.4898 205.7500
216.2286 206.0859
140.6367 190.8242
130.3877 193.8906
162.7143 190.9922
165.6531 200.2148
150.7714 202.5000
143.0816 240.0352
537.0490 282.9531
457.2857 171.7109
401.2735 171.7813
399.6776 160.4922
354.1265 162.5234
85.8980 191.0391
330.5225 164.0234
78.5959 158.0000
273.3714 146.8750
280.9102 156.5625
249.5959 176.2617
253.6939 150.1406
274.9837 148.8125
311.7551 147.4375
265.9061 145.7344
243.2286 145.2031
240.0082 142.8320
30.9429 173.7188
221.0980 166.2422
207.6367 175.5234
232.3347 152.6836
248.6816 159.4297
234.9796 168.2031
235.8939 169.8945
241.3714 168.9297
238.2449 162.4531
197.8163 164.8594
221.7020 171.0586
216.7102 168.6875
199.8980 158.3906
238.0326 198.1641
186.4122 195.1602
196.8000 194.4219
198.7143 209.6016
192.2449 201.7266
205.3102 190.8906
201.4327 184.1797
209.0816 177.2656
202.7347 161.3672
236.1143 165.7031
219.0204 161.2188
228.7714 152.6875
225.4082 159.7891
527.8857 181.3750
529.0490 187.6211
200.6531 269.4961
510.2000 170.5156
487.3429 160.3516
491.0735 162.9063
512.5714 178.5547
551.5428 151.3594
577.1021 149.5469
561.2041 157.2969
514.6326 164.4688
475.2245 179.8281
483.2408 176.6953
512.5592 163.5664
520.9796 169.5430
507.9102 165.1953
510.6163 165.5859
507.7510 160.6563
668.0898 141.9414
617.4694 130.1719
545.5306 135.3555
541.4286 148.2500
540.0204 140.6406
418.6735 243.5117
418.9470 245.9609
415.5919 241.0938
418.2653 244.0000
377.9470 209.4258
375.9673 204.5586
356.2449 186.4883
349.4245 197.5000
341.3715 199.7500
341.1551 202.3125
370.6939 193.3828
374.3061 190.8125
382.9878 196.3281
383.7714 197.9844
383.2857 195.7891
382.4857 190.6328
385.9143 196.8086
383.0612 198.1328
381.8776 196.0781
385.4898 198.7617
386.4898 186.9844
380.1837 198.7578
390.8653 182.7813
384.3469 174.5820
388.1021 196.5781
390.3755 195.6875
534.3959 169.7969
510.9061 169.5508
498.7510 156.8359
478.4734 154.0117
459.9061 160.1875
429.8245 164.5156
427.1469 163.2813
435.9102 164.1719
438.0367 157.2734
441.0286 163.6680
151.8367 172.0234
182.2571 154.9922
383.6000 251.7734
224.1429 199.1094
186.0367 212.5469
215.1265 208.2305
441.2857 154.0234
439.6204 148.6094
482.4081 142.0430
365.7102 148.3594
403.6939 221.4180
241.0816 239.3789
396.4245 223.1094
212.4367 295.6445
215.7020 208.3828
242.8694 212.7109
215.1755 171.2188
231.6571 189.4688
493.8776 171.6406
279.4734 193.7422
315.2735 164.1875
545.2980 109.7227
112.7347 339.5820
234.9184 330.8828
244.3265 316.3203
376.0449 277.7188
251.1021 197.8438
252.0571 196.4766
248.9592 188.1172
247.2898 194.6172
278.5428 180.5781
318.0163 191.3594
352.6367 202.1172
341.9388 197.7148
473.3469 255.4063
420.8000 251.6367
427.0286 245.6641
242.1633 213.8750
498.6449 167.5234
273.2735 146.0977
262.5020 148.0703
303.0653 157.1289
370.2735 157.5273
397.2327 233.2969
190.5674 176.8086
164.6816 181.5313
173.8694 172.0469
103.0163 178.7734
379.5061 170.3164
358.0735 174.3750
315.9592 191.1914
384.5347 164.5469
453.2041 206.4883
415.2122 215.0859
419.6122 207.7422
426.9429 206.4805
436.2449 203.7383
489.4122 192.4648
481.8286 188.6719
486.2857 188.5938
356.3878 254.1523
341.5633 262.8828
459.9102 201.7500
476.5469 206.5859
287.0571 175.2813
254.2857 188.5313
210.9796 177.5781
473.9429 206.5000
435.0245 178.7031
369.9714 176.3945
367.4572 186.8125
388.6694 177.7813
388.4163 176.8359
398.7673 181.0469
400.3714 197.6016
388.9306 222.0469
386.6000 222.0781
123.9510 223.7734
77.4326 198.6875
82.7551 179.0664
81.5959 179.9375
72.5469 187.9492
73.3429 188.2656
77.4286 182.2109
91.0939 185.6094
94.5796 187.0156
91.3837 179.6328
81.2816 181.2852
63.5020 178.5703
588.7224 313.9141
577.8653 303.3906
585.1959 295.0938
614.3633 298.0938
669.8898 215.7500
554.8367 222.9844
430.7796 225.0000
432.0449 226.0156
387.2245 214.5156
375.3388 213.2969
326.3061 221.4063
571.6776 284.3164
533.1510 271.2891
523.5919 246.2813
494.9388 247.4063
355.8000 276.5586
366.8571 282.0000
413.2122 231.2031
413.7755 225.0156
386.1877 225.5547
387.3347 230.7734
333.7632 214.9453
344.6571 206.9531
348.1061 216.5703
304.0204 219.3281
198.3102 216.4102
190.0204 206.3125
447.9061 233.4063
444.7551 241.6875
341.8000 248.1133
297.5061 258.1875
279.7143 264.0469
55.7347 169.2500
258.1551 231.7266
289.8245 240.5859
278.1510 246.1875
383.6000 223.6836
458.8776 221.0547
95.4898 209.9844
124.9143 204.6953
116.9796 210.0000
538.6122 171.0586
85.8653 217.6602
71.0980 229.7695
64.5347 221.8711
86.0000 192.0000
548.4653 247.9609
540.8123 234.4961
487.8939 195.2969
464.0204 184.0313
404.9388 212.5000
412.4490 201.2344
394.8000 197.8008
386.2082 210.0820
372.6531 222.3320
288.6000 189.4844
351.8041 204.5117
318.5510 201.7734
308.2898 205.5195
300.4163 193.2578
292.5510 179.6250
261.9510 185.8477
220.8612 180.0547
220.9143 182.0781
216.3714 179.1172
544.5714 168.8359
429.1837 145.9688
642.3184 185.5313
425.8000 251.7500
307.2653 249.0977
279.6694 242.7500
273.4449 180.7148
100.8204 187.6602
70.6000 187.5391
71.2653 186.2617
106.8367 175.2500
127.9184 157.8125
