Right Wrist
380.8163 336.6016
175.5837 423.1406
192.0163 406.8594
266.7837 307.1250
165.5510 338.3281
139.4082 364.9258
106.0245 399.8281
105.3428 395.4219
160.3306 389.2891
262.7469 356.4297
349.6122 367.3516
385.4245 380.0313
126.0000 357.0781
279.7347 370.7891
352.7020 402.1406
390.4490 336.5391
329.2245 342.9609
277.6694 354.1875
285.9184 318.7344
152.2286 318.0156
262.0775 293.4141
230.5429 309.0898
242.4000 283.8633
247.1184 292.2891
255.8204 283.9219
106.5429 314.6094
124.9469 190.7188
223.8816 329.4531
137.4122 365.0781
7.8163 349.9297
255.2449 352.4375
258.6000 346.4688
229.8571 210.4531
522.8776 350.6563
583.4817 281.8398
235.3796 382.3281
340.4122 399.2148
328.9306 394.2422
316.8816 387.0391
321.6163 386.1992
318.8571 382.6484
309.1796 382.0117
310.1143 394.1250
299.4327 401.2227
293.8571 383.1484
285.2898 381.6563
285.3918 375.9688
283.9388 375.5742
290.5796 353.7891
296.0612 332.5938
195.3918 270.0156
211.2122 263.7813
186.5674 268.8086
250.4286 229.8008
325.2653 295.0703
478.8163 290.6758
353.9592 283.7344
237.2082 437.2578
106.2857 393.1445
108.2082 399.4844
135.9143 384.7070
138.4694 382.6328
126.1837 397.3242
255.9306 233.7422
554.1306 377.3008
419.5184 294.9844
389.2449 307.5625
402.9510 301.2500
337.3388 319.3672
65.0204 331.8125
305.5919 320.1758
56.6408 322.0000
255.3429 312.1250
270.5755 305.0469
244.7837 317.5430
244.3878 306.1250
250.9429 310.0313
265.0286 324.3438
249.5470 327.9063
228.0857 316.4688
230.4245 310.9961
46.7143 317.7227
228.7878 324.1563
215.5714 326.0391
228.8327 310.5352
233.2694 331.5195
237.7143 317.2266
243.1102 344.5703
240.0571 312.4180
233.7143 307.5781
224.5592 337.1250
258.6939 323.0977
265.0776 312.0625
228.4694 332.3750
219.5469 428.5781
180.7673 417.7930
176.0000 421.4375
181.3143 428.9141
185.4245 434.0156
178.6735 422.6289
183.5306 429.5391
175.1388 410.5156
176.2857 408.7734
192.1918 398.7891
192.4490 389.0313
197.1143 395.1094
204.9184 393.5781
632.7592 275.6250
617.4000 286.2773
142.9388 333.9375
481.4000 323.9141
555.2286 258.4609
542.3224 253.4531
520.3429 260.0938
561.2980 250.9688
540.0327 264.7813
548.4327 290.7500
475.8571 258.4453
494.2041 236.7813
487.0939 275.3086
518.2898 259.0742
539.3469 272.5742
541.7020 296.6797
532.5714 285.3516
477.6286 299.7344
634.0612 248.9336
533.0286 207.6875
530.1837 206.6094
519.8286 214.7656
518.9183 215.5938
376.7959 427.7422
389.5266 458.8086
381.2449 463.6719
382.1837 471.3750
351.0245 345.4805
339.7224 356.8906
309.2245 317.6094
311.9388 315.4063
331.0857 329.6875
322.6898 334.5469
342.1877 328.1875
342.7633 337.5703
354.2449 330.1367
355.7429 331.5781
362.7755 321.9297
359.3429 332.1719
361.4857 335.2656
357.4857 331.7422
356.8286 326.7891
356.7143 325.8633
341.6816 305.2500
347.1224 308.3438
276.7592 216.2500
289.5959 203.1992
359.2041 315.6875
356.3959 319.3906
507.5184 273.5625
498.5633 269.9688
477.6408 262.5391
478.4734 266.1602
482.4041 302.4063
511.6327 285.2188
519.2776 274.8672
504.0898 286.8594
438.0367 295.0938
510.5306 283.6289
190.5796 338.3125
206.7184 341.3906
391.6000 320.6406
254.7714 387.4531
234.4776 389.4063
232.0735 405.4922
406.7143 210.5547
423.1714 239.0586
399.1429 190.7148
355.0163 270.3750
454.8776 307.2695
247.0000 286.7227
436.1183 313.5078
166.6980 401.3477
298.0367 381.3906
288.9837 397.4453
255.4204 332.1563
314.8286 303.2188
573.5919 369.0781
297.3510 365.4922
291.3714 351.4531
646.4653 324.8984
182.5306 439.9883
305.4490 432.4961
303.7714 433.9063
372.5796 313.5625
263.3469 349.9375
267.1183 348.3711
221.4082 358.8594
223.0816 367.1172
242.7551 351.2813
290.9796 371.9844
236.2612 483.8477
240.4694 468.7344
465.2327 384.9063
413.7714 382.4492
413.6286 379.6484
256.6612 353.4375
475.8857 330.0625
284.2122 332.3672
283.4816 347.7188
338.3959 343.1758
411.4898 309.7188
416.3184 292.0859
146.7959 292.7227
82.0122 296.4219
150.7020 321.8125
75.3592 374.8398
401.9143 255.6680
349.1918 243.3984
381.8857 273.8086
302.1021 339.4844
444.6327 310.4141
403.6041 307.8984
398.1021 313.7266
406.7633 303.6328
406.2041 308.9570
476.1143 282.2969
466.6571 345.9727
474.8571 288.9688
319.8163 508.3984
327.5428 479.1445
449.9184 306.7500
456.4939 311.5781
370.2285 293.0938
311.8571 292.6563
286.2449 177.5781
532.9143 250.5000
383.5266 303.5078
386.5755 322.3594
385.8571 326.3516
429.5837 274.4609
441.3755 278.6484
454.3755 292.3594
454.2571 312.1289
383.5551 372.9844
383.9714 369.5156
105.8939 326.8984
42.7551 333.7656
56.1225 330.1406
178.7265 172.5938
139.8449 298.3438
109.9143 329.0313
86.3061 340.0469
94.7592 330.6484
108.3592 318.2344
169.2816 198.0664
157.2245 181.2852
61.7347 337.8281
519.5714 359.0859
524.5755 344.9922
523.4816 346.2969
518.5306 346.9258
671.5306 332.2344
538.9429 360.2891
411.3061 343.5000
412.9429 331.0742
378.0816 359.3359
321.0694 349.2344
307.5918 398.2656
640.9959 447.7813
551.2612 440.2734
515.2816 414.6094
483.3673 419.6563
370.0041 381.4883
372.4694 375.3750
398.0775 372.2969
399.4490 370.8438
382.3184 365.3359
380.5184 368.4648
332.5102 346.6055
329.2776 324.4688
375.3265 315.1602
339.2857 253.3516
195.3469 294.8750
173.8490 296.5000
525.3428 282.2852
488.3714 320.4492
332.2000 303.2773
291.7306 347.2188
280.8857 342.5625
67.5102 395.7500
239.8816 341.5547
313.2857 377.8516
246.8571 408.4375
366.0898 346.4570
441.9796 352.9844
76.1021 338.3750
132.1959 332.1172
134.9388 336.0000
528.8571 311.9648
130.8286 344.8945
128.4041 344.3789
126.1837 343.1953
92.0000 342.0000
497.3796 372.0078
492.5469 371.7813
455.1755 363.1406
431.3878 347.8008
391.7143 325.5938
368.9184 322.2305
336.6571 331.2383
355.1306 351.9805
374.3878 359.6563
283.8000 282.7188
361.2408 264.4766
325.7755 258.5039
301.3837 260.8320
266.3592 252.5938
259.4898 245.4375
254.6776 246.5898
229.9184 251.1680
252.5429 235.9844
260.6572 235.8672
534.5714 273.2031
454.9184 155.8711
614.2776 310.8945
409.9714 333.8750
304.8816 313.4336
265.9143 350.0000
283.2000 405.7734
148.7388 387.0547
104.8000 362.5938
100.5878 364.7266
129.2857 361.5156
143.2653 380.2969
147.9714 379.6797
145.4898 366.9570
150.6408 388.0313
214.0367 228.8906
282.1918 307.4531
266.7429 320.8047
301.0163 314.8203
260.4041 341.8281
349.8816 302.8828
260.7061 319.8203
258.2531 321.0938
256.2653 327.9336
262.4408 323.2344
269.2653 325.7031
125.4857 360.8828
121.0000 360.7773
382.7796 515.4063
160.0571 312.7344
235.8531 285.3359
180.1551 302.6328
98.1837 353.9766
88.6041 350.6250
103.8735 327.5703
119.2041 339.7148
118.3306 343.1328
496.2857 468.2070
283.1510 429.4375
329.4857 426.0625
210.9143 305.3125
601.8000 414.6016
459.8163 422.8750
376.7633 343.3750
338.0367 362.4688
324.9796 398.0313
339.0000 373.7891
362.1347 402.8203
307.6571 386.0625
328.1796 373.5703
412.3551 397.6758
383.1633 385.8125
366.5143 343.2813
407.1102 352.9297
400.4816 348.2148
377.5919 363.4609
310.8367 378.2500
247.0531 365.9063
167.1143 240.1602
173.5102 240.2422
220.6326 247.5078
297.5755 240.1094
324.5184 250.6641
392.6000 266.5938
397.9388 268.8750
428.4939 269.5352
433.8653 272.7070
431.6286 271.4922
419.6531 275.4063
428.8082 275.6719
455.9061 266.5781
442.2735 272.1367
459.9429 267.5430
476.0939 255.6719
474.0571 238.3984
474.9020 230.3594
471.4000 227.1875
